"ID",管理コード,名前,略名,店舗名,説明,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
6360,,"プリペイド販売","プリペイド販売","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6361,,"プリペイド販売","プリペイド販売","LUXAS五反田東口（ラクサス五反田東口）","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6362,,"プリペイド販売","プリペイド販売","LUXAS錦糸町(ラクサス錦糸町)","",2,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2019-09-22 14:22:22,株式会社　東邦_user
6363,,"プリペイド販売","プリペイド販売","LUXAS五反田西口（ラクサス五反田西口）","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6364,,"プリペイド販売","プリペイド販売","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6365,,"プリペイド販売","プリペイド販売","LUXAS 新橋","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6366,,"プリペイド利用","プリペイド利用",本部,"",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6367,,"プリペイド利用","プリペイド利用","LUXAS 渋谷(ラクサス 渋谷)","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6368,,"プリペイド利用","プリペイド利用","LUXAS+中目黒","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6369,,"プリペイド利用","プリペイド利用","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6370,,"プリペイド利用","プリペイド利用","LUXAS五反田東口（ラクサス五反田東口）","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6371,,"プリペイド利用","プリペイド利用","LUXAS錦糸町(ラクサス錦糸町)","",1,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2019-09-22 14:21:05,株式会社　東邦_user
6372,,"プリペイド利用","プリペイド利用","LUXAS五反田西口（ラクサス五反田西口）","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6373,,"プリペイド利用","プリペイド利用","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
6374,,"プリペイド利用","プリペイド利用","LUXAS 新橋","",0,2015-11-01,,有効,2016-09-22 13:20:11,株式会社　東邦_user,2016-09-22 13:20:11,株式会社　東邦_user
13394,,"似顔絵500","似顔絵500","LUXAS錦糸町(ラクサス錦糸町)","",23,2018-10-09,2018-10-09,無効,2018-10-09 03:02:43,ほぐし家 錦糸町店_user,2018-10-09 03:03:40,ほぐし家 錦糸町店_user
13395,,"プリペイド利用","似顔絵500","LUXAS錦糸町(ラクサス錦糸町)","",25,2018-10-09,2018-10-09,無効,2018-10-09 03:04:33,ほぐし家 錦糸町店_user,2018-10-09 03:04:43,ほぐし家 錦糸町店_user
13548,,"送料","送料","LUXAS五反田西口（ラクサス五反田西口）","",0,2018-10-30,2018-10-30,無効,2018-10-30 18:44:52,LUXAS 五反田西口_user,2018-10-30 19:04:44,LUXAS 五反田西口_user
13573,,"物販","物販",本部,"",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13574,,"物販","物販","LUXAS 渋谷(ラクサス 渋谷)","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
